time	mnvel	errvel	tel
2456508.122464	33.39	2.020427	HIRES-pre
2456842.131165	-5.6	1.909908	HIRES-pre
2456844.123482	86.93	2.167831	HIRES-pre
2456846.125756	-46.77	2.037936	HIRES-pre
2456846.126277	-40.9	1.836947	HIRES-pre
2456847.130257	21.16	1.914388	HIRES-pre
2456849.129849	57.4	2.017375	HIRES-pre
2456867.085178	64.7	1.672525	HIRES-pre
2456882.112002	-37.79	1.923908	HIRES-pre
2456907.065674	1.45	1.993794	HIRES-pre
2456908.896263	78.37	2.317532	HIRES-pre
2456911.039532	-41.72	2.309006	HIRES-pre
2457001.788407	87.24	2.533843	HIRES-pre
2457057.698008	-15.98	2.317656	HIRES-pre
2457058.699587	-41.8	2.272055	HIRES-pre
2457223.132129	93.03	1.979003	HIRES-pre
2457229.103732	-23.92	1.9	HIRES-pre
2457237.139373	54.67	1.895462	HIRES-pre
2457237.139905	51.41	2.064087	HIRES-pre
2457237.140472	55.39	1.898138	HIRES-pre
2457265.111967	17.96	2.177326	HIRES-pre
2457570.053019	-126.83	3.10549	HIRES-pre
2457580.136972	-178.9	1.716864	HIRES-pre
2457581.136346	-139.37	1.904215	HIRES-pre
2457587.125657	-52.72	2.164546	HIRES-pre
2457595.033743	-130.67	2.305715	HIRES-pre
2457595.034426	-136.05	2.323137	HIRES-pre
2457595.035167	-132.25	2.106786	HIRES-pre
2457712.981652	7.37	2.794193	HIRES-pre
2457712.98296	10.77	2.70573	HIRES-pre
2457712.983701	2.99	2.57527	HIRES-pre
2457789.701211	54.04	2.452954	HIRES-pre
2457802.732842	-27.68	2.336402	HIRES-pre
2457925.125833	139.42	2.309809	HIRES-pre
2457984.042281	165.98	1.97186	HIRES-pre
2457985.068476	124.94	1.879697	HIRES-pre
2457989.032441	152.79	1.953844	HIRES-pre
2458091.72309	-28.37	3.124121	HIRES-pre
2458306.13401	-12.43	1.907093	HIRES-pre
2458337.142142	-102.14	2.080933	HIRES-pre
2458338.142806	-70.35	1.782118	HIRES-pre
2458341.103613	-52.59	2.000658	HIRES-pre
2458341.146024	-62.01	1.795596	HIRES-pre
2458346.934506	-86.68	2.488148	HIRES-pre
2458385.991606	116.85	2.296645	HIRES-pre
2458394.031309	69.2	2.621427	HIRES-pre
2458395.989502	94.42	2.934802	HIRES-pre
2458414.914909	51.71	2.752498	HIRES-pre
2458426.967202	126.31	2.805062	HIRES-pre
2458743.916024	-104.83	2.691056	HIRES-pre
2458776.913739	-109.18	2.615074	HIRES-pre
2458794.749716	-164.99	2.595708	HIRES-pre
2458878.700672	-28.29	2.438994	HIRES-pre
2458879.699241	40.92	2.644636	HIRES-pre
2456506.007919	60.33	4.292484	Levy
2456515.917837	102.33	4.854252	Levy
2456516.945169	57.63	4.573137	Levy
2456517.837385	-31.12	4.556805	Levy
2456518.876071	-21.09	4.165224	Levy
2456525.857072	72.27	4.972682	Levy
2456526.866412	-10.69	4.668622	Levy
2456534.861767	92.81	4.626822	Levy
2456535.876403	6.53	4.855828	Levy
2456539.861682	62.88	4.924689	Levy
2456540.894163	-11.58	4.183057	Levy
2456542.034984	10.96	4.226214	Levy
2456543.030504	93.73	4.046061	Levy
2456548.02932	98.33	4.768285	Levy
2456548.960618	54.1	4.513125	Levy
2456562.821251	57.76	5.698029	Levy
2456562.879448	36.15	5.75646	Levy
2456562.93959	52.32	5.775186	Levy
2456562.999304	57.26	6.135578	Levy
2456563.027349	31.85	6.358193	Levy
2456563.732278	-16.94	6.511149	Levy
2456563.823671	-18.27	6.635167	Levy
2456563.871139	-14.39	6.481134	Levy
2456563.932438	-35.87	7.056797	Levy
2456564.00596	-32.56	6.600507	Levy
